date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:18:47	7520/7520	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Dec%202024%2015:18:45%20GMT	https://hoahaudulichbansacvietnam.voting.vn/robots.txt		(from )
22:18:47	47264/47264	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Dec%202024%2015:18:45%20GMT	https://hoahaudulichbansacvietnam.voting.vn/	D:/giaodienvote/vote/hoahaudulichbansacvietnam.voting.vn/index.html	(from )
22:18:47	26060/26060	---M--	200	added ('OK')	text/css	etag:%2265cc-5c76112e05480%22	https://hoahaudulichbansacvietnam.voting.vn/templates/themes/portal03/layout/css_vt/aos.css	D:/giaodienvote/vote/hoahaudulichbansacvietnam.voting.vn/templates/themes/portal03/layout/css_vt/aos.css	(from https://hoahaudulichbansacvietnam.voting.vn/)
22:18:47	258175/258175	---M--	200	added ('OK')	image/jpeg	etag:W/%22258175-1722852956000%22	https://media.voting.vn/media/Data-store/Hhdlbs24/web/acs.jpg	D:/giaodienvote/vote/media.voting.vn/media/Data-store/Hhdlbs24/web/acs.jpg	(from https://hoahaudulichbansacvietnam.voting.vn/)
22:18:47	1902/1902	---M--	200	added ('OK')	text/css	etag:%2276e-5c76112e05480%22	https://hoahaudulichbansacvietnam.voting.vn/templates/themes/portal03/layout/css_vt/slick-theme.css	D:/giaodienvote/vote/hoahaudulichbansacvietnam.voting.vn/templates/themes/portal03/layout/css_vt/slick-theme.css	(from https://hoahaudulichbansacvietnam.voting.vn/)
22:18:48	1776/1776	---M--	200	added ('OK')	text/css	etag:%226f0-5c76112e05480%22	https://hoahaudulichbansacvietnam.voting.vn/templates/themes/portal03/layout/css_vt/slick.css	D:/giaodienvote/vote/hoahaudulichbansacvietnam.voting.vn/templates/themes/portal03/layout/css_vt/slick.css	(from https://hoahaudulichbansacvietnam.voting.vn/)
22:18:48	38079/38079	---M--	200	added ('OK')	text/css	etag:%2294bf-622c10e0120b2%22	https://hoahaudulichbansacvietnam.voting.vn/templates/themes/portal03/layout/css_vt/style.css	D:/giaodienvote/vote/hoahaudulichbansacvietnam.voting.vn/templates/themes/portal03/layout/css_vt/style.css	(from https://hoahaudulichbansacvietnam.voting.vn/)
22:18:48	7467/7467	---M--	200	added ('OK')	text/css	etag:%221d2b-5d9d957e04740%22	https://hoahaudulichbansacvietnam.voting.vn/templates/themes/portal03/layout/css_vt/vote.css	D:/giaodienvote/vote/hoahaudulichbansacvietnam.voting.vn/templates/themes/portal03/layout/css_vt/vote.css	(from https://hoahaudulichbansacvietnam.voting.vn/)
22:18:48	89501/89501	---M--	200	added ('OK')	application/x-javascript	etag:%2215d9d-5c5598209e100%22	https://hoahaudulichbansacvietnam.voting.vn/templates/themes/portal03/layout/js_vt/jquery-3.6.0.min.js	D:/giaodienvote/vote/hoahaudulichbansacvietnam.voting.vn/templates/themes/portal03/layout/js_vt/jquery-3.6.0.min.js	(from https://hoahaudulichbansacvietnam.voting.vn/)
22:18:49	88955/88955	---M--	200	added ('OK')	application/x-javascript	etag:%2215b7b-55aa81cdffc40%22	https://hoahaudulichbansacvietnam.voting.vn/templates/themes/portal03/layout/js_vt/slick.js	D:/giaodienvote/vote/hoahaudulichbansacvietnam.voting.vn/templates/themes/portal03/layout/js_vt/slick.js	(from https://hoahaudulichbansacvietnam.voting.vn/)
22:18:49	14239/14239	---M--	200	added ('OK')	application/x-javascript	etag:%22379f-5c5709f2ba540%22	https://hoahaudulichbansacvietnam.voting.vn/templates/themes/portal03/layout/js_vt/aos.js	D:/giaodienvote/vote/hoahaudulichbansacvietnam.voting.vn/templates/themes/portal03/layout/js_vt/aos.js	(from https://hoahaudulichbansacvietnam.voting.vn/)
22:18:49	29698/29698	---M--	200	added ('OK')	image/png	etag:W/%2229698-1722852305000%22	https://media.voting.vn/media/Data-store/Hhdlbs24/web/lg.png	D:/giaodienvote/vote/media.voting.vn/media/Data-store/Hhdlbs24/web/lg.png	(from https://hoahaudulichbansacvietnam.voting.vn/)
22:18:49	48024/48024	---M--	200	added ('OK')	image/jpeg	etag:W/%2248024-1722915659000%22	https://media.voting.vn/media/Data-store/Hhdlbs24/web/bxh.jpg	D:/giaodienvote/vote/media.voting.vn/media/Data-store/Hhdlbs24/web/bxh.jpg	(from https://hoahaudulichbansacvietnam.voting.vn/)
22:18:50	37760/37760	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Dec%202024%2015:18:48%20GMT	https://hoahaudulichbansacvietnam.voting.vn/vi-VN/bang-xep-hang	D:/giaodienvote/vote/hoahaudulichbansacvietnam.voting.vn/vi-VN/bang-xep-hang.html	(from https://hoahaudulichbansacvietnam.voting.vn/)
22:18:50	12086/12086	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Dec%202024%2015:18:49%20GMT	https://hoahaudulichbansacvietnam.voting.vn/vi-VN/huong-dan-binh-chon	D:/giaodienvote/vote/hoahaudulichbansacvietnam.voting.vn/vi-VN/huong-dan-binh-chon.html	(from https://hoahaudulichbansacvietnam.voting.vn/)
22:18:50	162037/162037	---M--	200	added ('OK')	image/jpeg	etag:W/%22162037-1722853011000%22	https://media.voting.vn/media/Data-store/Hhdlbs24/web/bn.jpg	D:/giaodienvote/vote/media.voting.vn/media/Data-store/Hhdlbs24/web/bn.jpg	(from https://hoahaudulichbansacvietnam.voting.vn/)
22:18:50	88955/88955	---M--	200	added ('OK')	application/x-javascript	etag:%2215b7b-55aa81cdffc40%22	https://hoahaudulichbansacvietnam.voting.vn/templates/themes/portal02/layout/js_vt/slick.js	D:/giaodienvote/vote/hoahaudulichbansacvietnam.voting.vn/templates/themes/portal02/layout/js_vt/slick.js	(from https://hoahaudulichbansacvietnam.voting.vn/)
22:18:50	1/1	---M--	200	added ('OK')	text/html	date:Fri,%2013%20Dec%202024%2015:18:49%20GMT	https://hoahaudulichbansacvietnam.voting.vn/vi-VN/gioi-thieu/gioi-thieu	D:/giaodienvote/vote/hoahaudulichbansacvietnam.voting.vn/vi-VN/gioi-thieu/gioi-thieu.html	(from https://hoahaudulichbansacvietnam.voting.vn/)
22:18:51	108653/108653	---M--	200	added ('OK')	image/jpeg	etag:W/%22108653-1722852996000%22	https://media.voting.vn/media/Data-store/Hhdlbs24/web/pt.jpg	D:/giaodienvote/vote/media.voting.vn/media/Data-store/Hhdlbs24/web/pt.jpg	(from https://hoahaudulichbansacvietnam.voting.vn/)
22:18:51	43563/43563	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Dec%202024%2015:18:50%20GMT	https://hoahaudulichbansacvietnam.voting.vn/vi-VN/thi-sinh/15023	D:/giaodienvote/vote/hoahaudulichbansacvietnam.voting.vn/vi-VN/thi-sinh/15023.html	(from https://hoahaudulichbansacvietnam.voting.vn/)
22:18:51	43561/43561	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Dec%202024%2015:18:50%20GMT	https://hoahaudulichbansacvietnam.voting.vn/vi-VN/thi-sinh/15024	D:/giaodienvote/vote/hoahaudulichbansacvietnam.voting.vn/vi-VN/thi-sinh/15024.html	(from https://hoahaudulichbansacvietnam.voting.vn/)
22:18:51	43585/43585	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Dec%202024%2015:18:50%20GMT	https://hoahaudulichbansacvietnam.voting.vn/vi-VN/thi-sinh/15025	D:/giaodienvote/vote/hoahaudulichbansacvietnam.voting.vn/vi-VN/thi-sinh/15025.html	(from https://hoahaudulichbansacvietnam.voting.vn/)
22:18:51	43577/43577	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Dec%202024%2015:18:50%20GMT	https://hoahaudulichbansacvietnam.voting.vn/vi-VN/thi-sinh/15026	D:/giaodienvote/vote/hoahaudulichbansacvietnam.voting.vn/vi-VN/thi-sinh/15026.html	(from https://hoahaudulichbansacvietnam.voting.vn/)
22:18:52	43563/43563	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Dec%202024%2015:18:50%20GMT	https://hoahaudulichbansacvietnam.voting.vn/vi-VN/thi-sinh/15027	D:/giaodienvote/vote/hoahaudulichbansacvietnam.voting.vn/vi-VN/thi-sinh/15027.html	(from https://hoahaudulichbansacvietnam.voting.vn/)
22:18:52	43562/43562	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Dec%202024%2015:18:51%20GMT	https://hoahaudulichbansacvietnam.voting.vn/vi-VN/thi-sinh/15028	D:/giaodienvote/vote/hoahaudulichbansacvietnam.voting.vn/vi-VN/thi-sinh/15028.html	(from https://hoahaudulichbansacvietnam.voting.vn/)
22:18:52	43562/43562	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Dec%202024%2015:18:51%20GMT	https://hoahaudulichbansacvietnam.voting.vn/vi-VN/thi-sinh/15029	D:/giaodienvote/vote/hoahaudulichbansacvietnam.voting.vn/vi-VN/thi-sinh/15029.html	(from https://hoahaudulichbansacvietnam.voting.vn/)
22:18:52	43552/43552	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Dec%202024%2015:18:51%20GMT	https://hoahaudulichbansacvietnam.voting.vn/vi-VN/thi-sinh/15030	D:/giaodienvote/vote/hoahaudulichbansacvietnam.voting.vn/vi-VN/thi-sinh/15030.html	(from https://hoahaudulichbansacvietnam.voting.vn/)
22:18:53	43570/43570	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Dec%202024%2015:18:51%20GMT	https://hoahaudulichbansacvietnam.voting.vn/vi-VN/thi-sinh/15031	D:/giaodienvote/vote/hoahaudulichbansacvietnam.voting.vn/vi-VN/thi-sinh/15031.html	(from https://hoahaudulichbansacvietnam.voting.vn/)
